name,family_id,archetype,static_difficulty_score,episodes,wins,timeouts,ema_difficulty
r2g_train_0001,marine_mirror_01,marine_mirror,0.0,0,0,0,0.0
r2g_train_0002,marine_mirror_01,marine_mirror,0.0,0,0,0,0.0
r2g_train_0003,marine_mirror_01,marine_mirror,0.0,0,0,0,0.0
r2g_train_0004,marine_mirror_01,marine_mirror,0.0,0,0,0,0.0
r2g_train_0005,marine_mirror_01,marine_mirror,0.0,0,0,0,0.0
r2g_train_0006,marine_mirror_01,marine_mirror,0.0,0,0,0,0.0
r2g_train_0007,marine_mirror_01,marine_mirror,0.0,0,0,0,0.0
r2g_train_0008,marine_mirror_01,marine_mirror,0.0,0,0,0,0.0
r2g_train_0009,marine_mirror_01,marine_mirror,0.0,0,0,0,0.0
r2g_train_0010,marine_mirror_01,marine_mirror,0.0,0,0,0,0.0
r2g_train_0011,marine_mirror_01,marine_mirror,0.0,0,0,0,0.0
r2g_train_0012,marine_mirror_01,marine_mirror,0.0,0,0,0,0.0
r2g_train_0013,marine_mirror_02,marine_mirror,0.075758,0,0,0,0.075758
r2g_train_0014,marine_mirror_02,marine_mirror,0.075758,0,0,0,0.075758
r2g_train_0015,marine_mirror_02,marine_mirror,0.075758,0,0,0,0.075758
r2g_train_0016,marine_mirror_02,marine_mirror,0.075758,0,0,0,0.075758
r2g_train_0017,marine_mirror_02,marine_mirror,0.075758,0,0,0,0.075758
r2g_train_0018,marine_mirror_02,marine_mirror,0.075758,0,0,0,0.075758
r2g_train_0019,marine_mirror_02,marine_mirror,0.075758,0,0,0,0.075758
r2g_train_0020,marine_mirror_02,marine_mirror,0.075758,0,0,0,0.075758
r2g_train_0021,marine_mirror_02,marine_mirror,0.075758,0,0,0,0.075758
r2g_train_0022,marine_mirror_02,marine_mirror,0.075758,0,0,0,0.075758
r2g_train_0023,marine_mirror_02,marine_mirror,0.075758,0,0,0,0.075758
r2g_train_0024,marine_mirror_02,marine_mirror,0.075758,0,0,0,0.075758
r2g_train_0025,marine_mirror_03,marine_mirror,0.227273,0,0,0,0.227273
r2g_train_0026,marine_mirror_03,marine_mirror,0.227273,0,0,0,0.227273
r2g_train_0027,marine_mirror_03,marine_mirror,0.227273,0,0,0,0.227273
r2g_train_0028,marine_mirror_03,marine_mirror,0.227273,0,0,0,0.227273
r2g_train_0029,marine_mirror_03,marine_mirror,0.227273,0,0,0,0.227273
r2g_train_0030,marine_mirror_03,marine_mirror,0.227273,0,0,0,0.227273
r2g_train_0031,marine_mirror_03,marine_mirror,0.227273,0,0,0,0.227273
r2g_train_0032,marine_mirror_03,marine_mirror,0.227273,0,0,0,0.227273
r2g_train_0033,marine_mirror_03,marine_mirror,0.227273,0,0,0,0.227273
r2g_train_0034,marine_mirror_03,marine_mirror,0.227273,0,0,0,0.227273
r2g_train_0035,marine_mirror_03,marine_mirror,0.227273,0,0,0,0.227273
r2g_train_0036,marine_mirror_03,marine_mirror,0.227273,0,0,0,0.227273
r2g_train_0037,marine_mirror_04,marine_mirror,0.378788,0,0,0,0.378788
r2g_train_0038,marine_mirror_04,marine_mirror,0.378788,0,0,0,0.378788
r2g_train_0039,marine_mirror_04,marine_mirror,0.378788,0,0,0,0.378788
