name,path,split,family_id,archetype,family_origin,heldout_compositional,variant_index,engagement_class,initial_min_cross_distance,terrain,formation,layout,num_allies,num_enemies,ally_value,enemy_value,ally_value_ratio,difficulty_proxy,static_difficulty_score,ally_composition,enemy_composition,sha256
r2g_train_0001,configs/train/r2g_train_0001.json,train,marine_mirror_01,marine_mirror,legacy_r2_1300,False,1,immediate,5.3132,NARROW,compact,narrow_same_side,3,2,150,100,1.5,strong_advantage,0.0,"{""MARINE"": 3}","{""MARINE"": 2}",cbe1ba54ffb00378ac303f7b37cf96f002c030ea364ec1bb8368f5b5d32bbd57
r2g_train_0002,configs/train/r2g_train_0002.json,train,marine_mirror_01,marine_mirror,legacy_r2_1300,False,2,immediate,5.3772,OCTAGON,split,diag_up,3,2,150,100,1.5,strong_advantage,0.0,"{""MARINE"": 3}","{""MARINE"": 2}",a4f02479ba984a6b31a7a48d8ddf5939c746b2945244e0d9dcf023dc3b05e159
r2g_train_0003,configs/train/r2g_train_0003.json,train,marine_mirror_01,marine_mirror,legacy_r2_1300,False,3,immediate,5.5224,SIMPLE,staggered,horizontal,3,2,150,100,1.5,strong_advantage,0.0,"{""MARINE"": 3}","{""MARINE"": 2}",3f53fbbc5ab8072bf01e23845ba40e7e39ed283fd94918c34d545cb60494cf78
r2g_train_0004,configs/train/r2g_train_0004.json,train,marine_mirror_01,marine_mirror,legacy_r2_1300,False,4,near,8.7911,NARROW,type_split,narrow_same_side,3,2,150,100,1.5,strong_advantage,0.0,"{""MARINE"": 3}","{""MARINE"": 2}",fdf0a80ac74c3c44aa72358da15375eab6faef4117c5ad1ccb4fd81b74c9b4f6
r2g_train_0005,configs/train/r2g_train_0005.json,train,marine_mirror_01,marine_mirror,legacy_r2_1300,False,5,near,8.6891,OCTAGON,compact,vertical,3,2,150,100,1.5,strong_advantage,0.0,"{""MARINE"": 3}","{""MARINE"": 2}",c0debf8158870a91a2648dbb8c728279867b96b97c0471965d0858c1e56036fe
r2g_train_0006,configs/train/r2g_train_0006.json,train,marine_mirror_01,marine_mirror,legacy_r2_1300,False,6,near,8.8683,OCTAGON,split,diag_down,3,2,150,100,1.5,strong_advantage,0.0,"{""MARINE"": 3}","{""MARINE"": 2}",5df5bfaf810be06dc8cf30c73aed888ac8536b14a950edd6157a4c0ecd7ed258
r2g_train_0007,configs/train/r2g_train_0007.json,train,marine_mirror_01,marine_mirror,legacy_r2_1300,False,7,near,8.6961,NARROW,staggered,narrow_same_side,3,2,150,100,1.5,strong_advantage,0.0,"{""MARINE"": 3}","{""MARINE"": 2}",28dadd2e9850c13c80a2dc5bc3fc2b3fc0856712010767bab385a5ec63ab7014
r2g_train_0008,configs/train/r2g_train_0008.json,train,marine_mirror_01,marine_mirror,legacy_r2_1300,False,8,medium,12.7481,SIMPLE,type_split,horizontal,3,2,150,100,1.5,strong_advantage,0.0,"{""MARINE"": 3}","{""MARINE"": 2}",a8460a4d1b7260600a958bce169e3e217ae5f69bc117345ebf4c1cc3674b6a2d
r2g_train_0009,configs/train/r2g_train_0009.json,train,marine_mirror_01,marine_mirror,legacy_r2_1300,False,9,medium,12.8633,OCTAGON,compact,diag_up,3,2,150,100,1.5,strong_advantage,0.0,"{""MARINE"": 3}","{""MARINE"": 2}",f4a7c5b39ad6a48f6ae95de6531cf179c4883f7f0a9d86354d146526c29fac5e
r2g_train_0010,configs/train/r2g_train_0010.json,train,marine_mirror_01,marine_mirror,legacy_r2_1300,False,10,medium,12.836,NARROW,split,narrow_cross_gate,3,2,150,100,1.5,strong_advantage,0.0,"{""MARINE"": 3}","{""MARINE"": 2}",3503bca012175997774accae0e902e4eca9fe6fc4624fa8ba7f2eaf923071555
r2g_train_0011,configs/train/r2g_train_0011.json,train,marine_mirror_01,marine_mirror,legacy_r2_1300,False,11,far,16.9193,SIMPLE,staggered,horizontal,3,2,150,100,1.5,strong_advantage,0.0,"{""MARINE"": 3}","{""MARINE"": 2}",26fd0b4df2f43e36d20d4d35335fc0fd14a5356ed3123d0fa7ebf415ec9feed7
r2g_train_0012,configs/train/r2g_train_0012.json,train,marine_mirror_01,marine_mirror,legacy_r2_1300,False,12,far,17.1773,SIMPLE,type_split,horizontal,3,2,150,100,1.5,strong_advantage,0.0,"{""MARINE"": 3}","{""MARINE"": 2}",035f2a0cc106bc3a11465560c1205ea458781a0a5a00718c00eb8fdf6bea57b3
r2g_train_0013,configs/train/r2g_train_0013.json,train,marine_mirror_02,marine_mirror,legacy_r2_1300,False,1,immediate,5.3702,NARROW,compact,narrow_same_side,4,3,200,150,1.3333,moderate_advantage,0.075758,"{""MARINE"": 4}","{""MARINE"": 3}",7d25be11a228859d6af4ef6349a75c5a2305569bda5e043707fcbbfc8507e92c
r2g_train_0014,configs/train/r2g_train_0014.json,train,marine_mirror_02,marine_mirror,legacy_r2_1300,False,2,immediate,5.549,OCTAGON,split,diag_up,4,3,200,150,1.3333,moderate_advantage,0.075758,"{""MARINE"": 4}","{""MARINE"": 3}",d62f2b61669fa3ce7c43ef229944a4494b26e743d07100138da9c8ae6d644eb8
r2g_train_0015,configs/train/r2g_train_0015.json,train,marine_mirror_02,marine_mirror,legacy_r2_1300,False,3,immediate,5.452,SIMPLE,staggered,horizontal,4,3,200,150,1.3333,moderate_advantage,0.075758,"{""MARINE"": 4}","{""MARINE"": 3}",eec63ac9eae91821345f1bab1d384cb5dc1fd109e615a13a1b51486dc2cee9a1
r2g_train_0016,configs/train/r2g_train_0016.json,train,marine_mirror_02,marine_mirror,legacy_r2_1300,False,4,near,8.822,NARROW,type_split,narrow_same_side,4,3,200,150,1.3333,moderate_advantage,0.075758,"{""MARINE"": 4}","{""MARINE"": 3}",3e631dd2d21575a089a9fcaab57b1802fa2ef220536f407092dc41274dd1a6e8
r2g_train_0017,configs/train/r2g_train_0017.json,train,marine_mirror_02,marine_mirror,legacy_r2_1300,False,5,near,8.8561,OCTAGON,compact,vertical,4,3,200,150,1.3333,moderate_advantage,0.075758,"{""MARINE"": 4}","{""MARINE"": 3}",43de3a4bc76da411ca98413958efe797ecc427f287c097195b9cd0e63fb50c3f
