name,path,split,family_id,archetype,heldout_compositional,variant_index,engagement_class,initial_min_cross_distance,terrain,formation,num_allies,num_enemies,ally_value,enemy_value,ally_value_ratio,difficulty_proxy,ally_composition,enemy_composition,sha256
r2_train_0001,configs/train/r2_train_0001.json,train,marine_mirror_01,marine_mirror,False,1,immediate,5.3112,SIMPLE,split,3,2,150,100,1.5,easy,"{""MARINE"": 3}","{""MARINE"": 2}",a96910547c92b1703c2a1a0daaac3a4774ccb0e58ac228d8b91a49a5cae48ab9
r2_train_0002,configs/train/r2_train_0002.json,train,marine_mirror_01,marine_mirror,False,2,immediate,5.4455,SIMPLE,staggered,3,2,150,100,1.5,easy,"{""MARINE"": 3}","{""MARINE"": 2}",9f1be1fd54e045ee4c9a1e746a35802b098e2070fc7983c7da21340169a5a6c9
r2_train_0003,configs/train/r2_train_0003.json,train,marine_mirror_01,marine_mirror,False,3,near,8.8781,SIMPLE,type_split,3,2,150,100,1.5,easy,"{""MARINE"": 3}","{""MARINE"": 2}",df9a155aa4d9405030d2608ad8af8d41d6bb4bdb6fb4a59ad796c371bf897391
r2_train_0004,configs/train/r2_train_0004.json,train,marine_mirror_01,marine_mirror,False,4,near,8.9441,NARROW,compact,3,2,150,100,1.5,easy,"{""MARINE"": 3}","{""MARINE"": 2}",234ebcd7b86cf027088e657aabc0769b021222f57c6a522741a341bce64ea7e5
r2_train_0005,configs/train/r2_train_0005.json,train,marine_mirror_01,marine_mirror,False,5,near,8.6915,SIMPLE,split,3,2,150,100,1.5,easy,"{""MARINE"": 3}","{""MARINE"": 2}",62cc8cfc9ee3aae4220cf92e7bed7092f18cd71b3b4339d497a29b99e3b59a65
r2_train_0006,configs/train/r2_train_0006.json,train,marine_mirror_01,marine_mirror,False,6,medium,12.9894,SIMPLE,staggered,3,2,150,100,1.5,easy,"{""MARINE"": 3}","{""MARINE"": 2}",3a40c081a5da3c47fa1a2cd20583fe09f18bfa3ec8723991fe577eb5e2476ff5
r2_train_0007,configs/train/r2_train_0007.json,train,marine_mirror_01,marine_mirror,False,7,medium,12.618,SIMPLE,type_split,3,2,150,100,1.5,easy,"{""MARINE"": 3}","{""MARINE"": 2}",b9d5aed08599444d373e274d60ada6516e997ebc48fdf4cdf987b513ff168e60
r2_train_0008,configs/train/r2_train_0008.json,train,marine_mirror_01,marine_mirror,False,8,far,17.1271,SIMPLE,compact,3,2,150,100,1.5,easy,"{""MARINE"": 3}","{""MARINE"": 2}",d798fea9c9794d58859481b915b75e97ee4cf7c01e12ed82057e22a7deb3ab78
r2_train_0009,configs/train/r2_train_0009.json,train,marine_mirror_02,marine_mirror,False,1,immediate,5.4092,SIMPLE,split,4,3,200,150,1.3333,moderate,"{""MARINE"": 4}","{""MARINE"": 3}",ce782164f8ab7f2dfff5559fe9b0c28917f12ca6ca1de5756f82e84661d60e58
r2_train_0010,configs/train/r2_train_0010.json,train,marine_mirror_02,marine_mirror,False,2,immediate,5.3597,SIMPLE,staggered,4,3,200,150,1.3333,moderate,"{""MARINE"": 4}","{""MARINE"": 3}",7d496780738bc9611463727b8144eedf19e4ab763ebe493bc030a4cc902f6fdf
r2_train_0011,configs/train/r2_train_0011.json,train,marine_mirror_02,marine_mirror,False,3,near,8.8469,SIMPLE,type_split,4,3,200,150,1.3333,moderate,"{""MARINE"": 4}","{""MARINE"": 3}",2f99f6cb5e646277d0c082c5cc0416b75bb753ba08e0bd08f6fe21c3c35082e4
r2_train_0012,configs/train/r2_train_0012.json,train,marine_mirror_02,marine_mirror,False,4,near,8.5694,SIMPLE,compact,4,3,200,150,1.3333,moderate,"{""MARINE"": 4}","{""MARINE"": 3}",e873e2c6ba841b5db733b8c1e0f8b3c8efdad18e385040e3809c5346a1fe5b35
r2_train_0013,configs/train/r2_train_0013.json,train,marine_mirror_02,marine_mirror,False,5,near,9.0131,NARROW,compact,4,3,200,150,1.3333,moderate,"{""MARINE"": 4}","{""MARINE"": 3}",08239e5ae1e7de2ece460305622a435ac1a3699141eac8eaaa1bd520e1a1f699
r2_train_0014,configs/train/r2_train_0014.json,train,marine_mirror_02,marine_mirror,False,6,medium,12.8188,SIMPLE,staggered,4,3,200,150,1.3333,moderate,"{""MARINE"": 4}","{""MARINE"": 3}",9a781599fa5b2277a927a826c1a89d80d9a40544603ebad20dfcd4ed0a53551d
r2_train_0015,configs/train/r2_train_0015.json,train,marine_mirror_02,marine_mirror,False,7,medium,12.9395,SIMPLE,type_split,4,3,200,150,1.3333,moderate,"{""MARINE"": 4}","{""MARINE"": 3}",fb3a5515a0a524bd984075ca5b3235eb6aa4e0c6587c86611f14984db50a0bb1
r2_train_0016,configs/train/r2_train_0016.json,train,marine_mirror_02,marine_mirror,False,8,far,16.9366,SIMPLE,compact,4,3,200,150,1.3333,moderate,"{""MARINE"": 4}","{""MARINE"": 3}",0d023d19b54898d95b66b3dfee014469be134b0838c0f953eefa4d7aeaf7bb34
r2_train_0017,configs/train/r2_train_0017.json,train,marine_mirror_03,marine_mirror,False,1,immediate,5.5605,NARROW,compact,5,4,250,200,1.25,moderate,"{""MARINE"": 5}","{""MARINE"": 4}",61333d08f819b6f90a169df3431ab0c4bacc3b6aca9f416a927ab5060e2f0b2b
r2_train_0018,configs/train/r2_train_0018.json,train,marine_mirror_03,marine_mirror,False,2,immediate,5.2599,SIMPLE,staggered,5,4,250,200,1.25,moderate,"{""MARINE"": 5}","{""MARINE"": 4}",84cea9975f83fd10b22ce6da357c848a440e83b02c8661dce2cf9aa6754ae04d
r2_train_0019,configs/train/r2_train_0019.json,train,marine_mirror_03,marine_mirror,False,3,near,8.8717,SIMPLE,type_split,5,4,250,200,1.25,moderate,"{""MARINE"": 5}","{""MARINE"": 4}",1b89efa4264a49948561377ded7f623677644b207271fc5f56970427203e5413
r2_train_0020,configs/train/r2_train_0020.json,train,marine_mirror_03,marine_mirror,False,4,near,8.848,SIMPLE,compact,5,4,250,200,1.25,moderate,"{""MARINE"": 5}","{""MARINE"": 4}",b61298bcae4494c8cd93f882b2d3e6c2593e88846c43215c159703f4028bc422
r2_train_0021,configs/train/r2_train_0021.json,train,marine_mirror_03,marine_mirror,False,5,near,8.8014,SIMPLE,split,5,4,250,200,1.25,moderate,"{""MARINE"": 5}","{""MARINE"": 4}",bee2759fdf16f19e442b007fdc56a7eee8beae72ac4369a970a0158e49ab14c6
